input,target
Determine whether the following statement or statements are plausible or implausible: Jamal Murray was perfect from the line,plausible
Determine whether the following statement or statements are plausible or implausible: Jonas Valanciunas beat the buzzer,plausible
Determine whether the following statement or statements are plausible or implausible: Malcolm Brogdon banked the shot in,plausible
Determine whether the following statement or statements are plausible or implausible: Joao Moutinho caught the screen pass in the NFC championship,implausible
Determine whether the following statement or statements are plausible or implausible: Sam Darnold passed the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Carson Wentz set the pick and roll,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Palmieri was called for slashing,plausible
Determine whether the following statement or statements are plausible or implausible: Liam Hendricks hit a double in the World Series,plausible
Determine whether the following statement or statements are plausible or implausible: Draymond Green threw a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Sonny Gray was out at second,plausible
Determine whether the following statement or statements are plausible or implausible: Luke Voit was out at first,plausible
Determine whether the following statement or statements are plausible or implausible: Wayne Rooney shot from outside the eighteen,plausible
Determine whether the following statement or statements are plausible or implausible: Samir Nasri did a double stepover in the World Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Jorge Soler entered the attacking zone,implausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto shot from beyond the arc,implausible
Determine whether the following statement or statements are plausible or implausible: Fernando Tatis Jr. walked on ball four,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Williams got into the endzone,plausible
Determine whether the following statement or statements are plausible or implausible: Juan Mata caught the screen pass,implausible
Determine whether the following statement or statements are plausible or implausible: Alex Pietrangelo was called for slashing in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Gareth Bale launched the half court shot,implausible
Determine whether the following statement or statements are plausible or implausible: Joao Moutinho was out at third,implausible
Determine whether the following statement or statements are plausible or implausible: Bryce Harper hit the back shoulder fade,implausible
Determine whether the following statement or statements are plausible or implausible: Freddie Freeman scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Malcolm Brogdon eurostepped to the basket in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Derrick White backhanded a shot,implausible
Determine whether the following statement or statements are plausible or implausible: Tuukka Rask crossed the blue line,plausible
Determine whether the following statement or statements are plausible or implausible: Nazem Kadri was out at home,implausible
Determine whether the following statement or statements are plausible or implausible: Jacob Markstrom backhanded a shot,plausible
Determine whether the following statement or statements are plausible or implausible: Tristan Jarry dunked the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Clayton Kershaw launched a hail mary,implausible
Determine whether the following statement or statements are plausible or implausible: Jose Ramirez hit into a double play in the National League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Elias Lindholm took the snap,implausible
Determine whether the following statement or statements are plausible or implausible: Baker Mayfield committed a blocking foul in the NBA Championship,implausible
Determine whether the following statement or statements are plausible or implausible: Robin Lehner launched a hail mary,implausible
Determine whether the following statement or statements are plausible or implausible: Paulinho earned an indirect kick in the FA Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Norman Powell committed a blocking foul,plausible
Determine whether the following statement or statements are plausible or implausible: Jayson Tatum was caught offsides in the Champions Leage Semifinal,implausible
Determine whether the following statement or statements are plausible or implausible: Darcy Kuemper scored on the power play,plausible
